age,annual_income,total_debt,credit_history_years,late_payments,credit_utilization,existing_loans,savings,employment_years,debt_to_income,creditworthy
59,85676.26,20923.64,14.34,1,0.403,2,419.31,16.58,0.244,1
49,95664.39,34641.1,24.13,1,0.061,1,3859.54,19.93,0.362,1
35,25460.87,6043.3,5.81,3,0.076,1,0.0,7.98,0.237,1
63,61627.19,14641.52,3.74,1,0.411,0,11208.81,16.13,0.238,1
28,48614.26,4594.3,26.57,4,0.287,2,16946.22,3.67,0.095,1
41,46823.66,5854.86,10.62,1,0.441,0,8416.13,8.55,0.125,1
59,72218.29,22518.89,20.67,4,0.376,3,7523.28,22.73,0.312,0
39,46296.85,27718.29,1.25,1,0.219,1,15708.86,21.0,0.599,1
43,49088.68,10207.3,20.86,2,0.484,1,7974.71,14.38,0.208,1
31,56301.47,27265.14,9.82,2,0.42,3,17722.11,13.0,0.484,1
31,51785.22,31338.94,2.14,2,0.858,3,27370.81,13.0,0.605,0
44,34181.46,41216.47,18.49,1,0.271,2,22124.37,23.96,1.206,1
56,77509.94,18836.96,7.6,3,0.172,4,24572.16,12.25,0.243,1
60,83067.68,10322.83,11.91,2,0.565,1,27031.02,14.04,0.124,0
44,67559.61,5970.34,2.88,1,0.35,1,17393.94,10.39,0.088,1
23,51715.84,4778.48,4.84,0,0.191,2,12096.31,1.8,0.092,1
42,44485.36,32997.37,9.29,3,0.414,2,4732.96,10.57,0.742,1
22,44520.36,0.0,3.15,5,0.435,1,9305.86,4.0,0.0,1
44,111862.28,32612.98,27.37,1,0.366,3,7715.77,20.12,0.292,1
64,80632.44,7578.71,0.68,0,0.471,0,22780.07,22.31,0.094,1
50,41517.58,9777.53,14.77,1,0.252,1,18161.39,1.29,0.236,1
58,63623.35,16181.33,4.14,0,0.568,1,22361.09,13.18,0.254,1
22,52024.23,9556.15,9.58,1,0.454,4,75.96,2.69,0.184,1
41,72843.61,29183.76,27.82,3,0.157,3,31180.99,5.02,0.401,1
53,71956.98,39760.13,5.27,0,0.488,2,8876.24,22.51,0.553,1
32,83839.41,10110.81,28.99,4,0.278,4,799.8,12.42,0.121,1
42,41287.76,12813.15,6.57,2,0.889,2,8729.39,18.96,0.31,1
64,62304.18,16040.15,22.38,1,0.268,3,43805.19,1.61,0.257,1
45,21531.97,24492.68,16.63,1,0.173,3,9347.4,10.42,1.138,1
47,32338.51,16158.19,26.59,3,0.241,3,10098.84,16.86,0.5,1
62,79450.22,34647.09,16.84,0,0.341,4,11694.74,3.34,0.436,0
48,39084.96,31759.49,16.27,1,0.307,1,12216.56,8.15,0.813,1
36,41500.01,3774.45,6.27,7,0.477,3,4622.29,1.61,0.091,0
35,59817.88,24251.62,5.4,1,0.128,1,15718.56,16.28,0.405,1
64,75284.74,36244.07,27.54,1,0.194,4,26907.14,24.27,0.481,1
23,36661.81,12062.63,10.17,3,0.372,0,17771.47,5.0,0.329,1
57,15000.0,14468.82,11.48,1,0.133,5,666.02,24.37,0.965,0
27,40855.09,11663.56,22.91,2,0.532,3,9867.85,9.0,0.285,1
41,86523.82,11915.09,10.5,2,0.206,2,7381.67,21.38,0.138,1
29,67548.97,0.0,28.59,1,0.292,0,14635.27,11.0,0.0,0
59,89125.25,2060.22,22.27,1,0.136,0,29965.42,12.96,0.023,1
38,35100.04,18929.68,18.12,1,0.117,2,12213.41,10.16,0.539,1
24,23933.28,36163.18,26.49,2,0.619,0,12942.14,6.0,1.511,0
45,70176.07,10639.67,1.96,0,0.307,2,35331.74,4.55,0.152,1
34,65280.5,10286.91,8.08,1,0.207,2,24514.47,1.41,0.158,1
29,66722.2,38418.25,14.22,0,0.536,1,20888.98,11.0,0.576,1
46,80525.93,4700.91,7.2,5,0.838,1,37497.58,0.09,0.058,0
22,69277.07,0.0,22.45,4,0.32,0,19877.74,4.0,0.0,1
40,68923.59,8057.81,27.62,3,0.564,2,0.0,18.22,0.117,1
48,75730.15,10046.59,13.0,1,0.574,0,23991.99,8.21,0.133,1
27,71053.17,0.0,10.59,1,0.43,3,0.0,9.0,0.0,0
64,78863.81,16463.5,28.87,0,0.316,0,19424.06,20.45,0.209,1
28,82187.46,29381.36,13.62,1,0.763,1,0.0,6.13,0.357,1
55,93697.15,2568.54,14.93,3,0.172,1,8397.74,19.27,0.027,1
34,45717.79,19050.94,10.87,2,0.661,1,9634.59,16.0,0.417,1
37,70572.37,22751.23,27.33,0,0.302,1,4758.57,6.23,0.322,1
56,51852.89,16999.39,17.28,2,0.271,2,9813.78,1.05,0.328,1
60,41661.7,20228.31,22.98,2,0.125,2,26390.74,5.1,0.486,1
24,44830.11,20367.93,24.45,3,0.307,2,5432.57,5.02,0.454,1
22,70889.02,8247.26,10.58,0,0.178,0,20541.69,1.63,0.116,1
26,69201.56,35982.99,13.29,2,0.597,4,2412.2,8.0,0.52,1
62,68809.06,32973.08,25.53,1,0.423,3,11726.01,9.5,0.479,1
24,55034.3,32278.94,11.22,2,0.476,2,17886.07,6.0,0.587,1
49,60075.12,30164.11,23.92,3,0.284,2,2041.66,6.3,0.502,1
38,77990.56,0.0,28.26,3,0.528,0,0.0,11.33,0.0,1
46,27233.35,29112.75,18.88,1,0.196,0,19902.54,15.98,1.069,1
64,60542.13,25867.22,22.38,0,0.256,2,27476.96,21.94,0.427,1
54,61979.04,0.0,24.25,2,0.222,1,13051.22,13.12,0.0,1
30,76572.69,15421.08,25.43,1,0.498,0,8512.25,9.34,0.201,1
56,30294.53,21321.52,12.15,1,0.233,2,15868.1,21.68,0.704,1
34,92892.94,37971.81,2.01,0,0.492,3,14665.76,7.76,0.409,1
51,64699.87,26696.69,12.36,1,0.043,1,16914.83,1.99,0.413,1
35,65864.77,7625.21,20.38,3,0.721,1,0.0,11.13,0.116,1
28,51169.65,38344.66,13.79,4,0.298,1,1170.75,10.0,0.749,0
34,71836.49,18525.36,22.59,2,0.524,1,3857.24,0.77,0.258,1
43,61054.99,14929.91,11.03,0,0.041,2,15810.41,14.65,0.245,1
60,86597.6,14074.58,19.22,1,0.085,3,16230.53,14.86,0.163,1
41,28287.13,0.0,6.0,1,0.734,2,21634.17,23.0,0.0,1
36,63862.01,16682.77,22.61,3,0.166,1,17090.98,7.16,0.261,1
65,68987.27,23969.82,16.6,0,0.456,2,0.0,6.97,0.347,1
38,55899.81,13375.4,6.52,2,0.594,3,31364.06,11.01,0.239,1
44,51097.35,23045.43,9.11,2,0.187,1,29263.02,8.92,0.451,1
46,52014.94,7627.31,22.58,2,0.662,3,0.0,18.41,0.147,1
45,63842.06,16308.87,14.74,0,0.431,2,17992.46,16.04,0.255,1
65,20180.9,21798.48,6.87,2,0.517,3,6854.91,18.97,1.08,0
61,81230.33,20275.93,29.03,2,0.302,2,15666.37,20.5,0.25,1
49,49437.1,0.0,21.6,0,0.177,0,26639.72,23.07,0.0,1
35,62811.66,12731.93,28.74,0,0.506,1,39561.25,10.77,0.203,1
65,68076.25,38129.56,13.1,1,0.58,4,23015.33,24.62,0.56,1
21,48432.28,12090.65,14.52,2,0.458,2,17539.22,3.0,0.25,1
45,57117.16,18189.69,26.99,0,0.731,2,9922.15,17.86,0.318,1
27,15224.71,16958.93,15.99,2,0.548,1,16185.62,9.0,1.114,1
29,76106.72,36818.88,21.36,1,0.718,0,30317.26,11.0,0.484,1
44,83761.52,33484.42,7.94,4,0.737,3,13463.49,11.92,0.4,0
21,22578.14,27690.37,13.68,0,0.588,1,3366.65,3.0,1.226,1
64,51057.16,6321.09,4.14,3,0.484,1,0.0,23.25,0.124,1
28,32942.87,22310.2,6.58,2,0.167,2,20156.57,10.0,0.677,1
44,56089.71,24815.3,0.53,3,0.848,0,16967.46,19.4,0.442,1
31,74270.0,9616.74,1.66,2,0.227,3,6249.1,1.68,0.129,1
37,81720.8,7553.79,29.33,4,0.337,0,26312.17,5.12,0.092,0
28,84680.77,38460.17,7.65,2,0.234,2,8938.68,10.0,0.454,1
55,88831.96,14390.36,20.07,1,0.35,1,12384.27,17.33,0.162,1
55,55106.92,37379.72,25.25,1,0.175,2,13800.03,14.04,0.678,1
53,34766.91,29965.13,16.74,0,0.468,2,9788.57,9.17,0.862,1
25,57479.01,22894.52,5.02,2,0.333,1,16830.38,1.11,0.398,1
62,73931.89,23430.38,21.98,4,0.41,0,27818.18,9.23,0.317,1
59,33000.28,1194.97,18.21,1,0.532,2,290.22,12.47,0.036,1
61,96523.01,20481.3,22.07,0,0.089,0,19862.24,5.29,0.212,1
48,79753.55,35004.24,23.21,2,0.488,2,16065.9,4.33,0.439,1
27,55455.52,26176.07,29.27,0,0.28,2,15845.17,9.0,0.472,1
29,44360.82,19852.04,17.42,0,0.314,2,24462.13,11.0,0.448,1
28,45279.34,38543.25,10.58,2,0.376,2,14591.57,6.0,0.851,1
32,61632.54,15779.51,19.63,3,0.207,0,19762.75,14.0,0.256,1
54,54953.14,10565.33,2.52,3,0.382,0,22590.38,22.51,0.192,1
53,80911.06,19845.98,26.97,1,0.439,2,7947.62,11.83,0.245,1
43,52454.53,27197.61,4.02,1,0.423,1,17590.2,21.43,0.518,1
44,71121.04,0.0,10.17,2,0.261,1,10990.55,23.18,0.0,1
57,59363.65,21418.42,24.56,4,0.296,3,12407.82,2.31,0.361,0
55,65932.73,27724.14,18.12,2,0.077,2,10135.26,2.4,0.42,1
64,54938.76,14764.3,12.11,2,0.191,3,19652.96,11.9,0.269,0
60,75569.74,31283.58,14.47,4,0.125,2,14979.74,14.7,0.414,1
42,75895.88,25694.24,25.71,1,0.529,2,18734.53,10.65,0.339,1
47,70118.44,43696.6,10.53,1,0.233,1,13789.79,8.16,0.623,1
55,73365.32,8992.77,26.15,3,0.381,0,0.0,16.02,0.123,1
21,39223.89,27968.52,3.1,1,0.372,1,14376.42,0.05,0.713,1
55,67111.41,5792.11,23.42,2,0.305,2,14762.46,24.2,0.086,1
57,87482.44,0.0,25.5,3,0.164,3,16911.15,5.8,0.0,1
34,70810.9,0.0,5.86,1,0.287,2,6875.25,16.0,0.0,1
23,37324.21,24459.89,13.2,3,0.616,3,0.0,2.73,0.655,0
21,58905.14,20210.97,5.38,2,0.529,2,21495.28,3.0,0.343,1
25,68249.51,12251.39,21.34,2,0.658,1,10716.72,5.87,0.18,1
46,43337.21,0.0,16.29,2,0.704,1,16054.93,24.9,0.0,1
34,30118.03,9715.36,19.24,0,0.326,1,10622.48,0.12,0.323,1
59,53045.85,18049.12,6.3,4,0.602,0,13927.26,15.99,0.34,1
47,43701.69,27518.03,6.75,0,0.291,1,8608.58,21.74,0.63,1
29,59685.64,17801.57,1.72,2,0.393,0,2383.0,11.0,0.298,1
35,24989.1,21024.72,10.0,2,0.362,3,19684.78,9.07,0.841,1
35,72423.42,13486.41,17.01,0,0.492,1,6762.56,17.0,0.186,1
46,46038.69,38990.69,25.81,4,0.607,2,15967.42,22.34,0.847,0
62,81906.55,5781.0,20.17,1,0.347,1,18925.52,10.85,0.071,1
33,53908.23,9609.14,13.34,0,0.385,0,6958.25,14.33,0.178,1
52,59441.44,12091.7,28.62,4,0.323,2,0.0,24.19,0.203,1
59,56193.23,24512.45,21.72,2,0.381,0,43113.03,24.56,0.436,1
52,44860.49,5533.68,27.94,2,0.409,0,7666.74,11.25,0.123,1
24,114390.15,19628.62,16.06,1,0.483,2,21481.01,6.0,0.172,1
50,49090.94,19978.92,8.14,3,0.201,0,37273.56,7.55,0.407,0
57,82517.47,9667.7,2.06,2,0.223,4,23478.89,9.3,0.117,1
43,35940.16,21959.75,21.92,4,0.575,3,10394.69,4.12,0.611,0
59,68186.89,5906.23,4.08,3,0.431,1,13194.6,5.23,0.087,1
65,70535.19,4595.11,9.43,1,0.303,4,4008.71,16.42,0.065,1
35,59468.11,19195.27,16.21,1,0.74,1,24580.36,12.77,0.323,1
63,47437.9,0.0,17.15,2,0.066,3,20795.25,5.78,0.0,1
49,54206.92,0.0,18.22,1,0.356,2,7826.89,10.07,0.0,1
56,51127.63,24394.0,5.4,0,0.335,1,1493.9,9.33,0.477,1
33,112844.58,30587.64,11.7,1,0.564,1,0.0,15.0,0.271,1
52,59502.73,12398.36,18.71,3,0.369,0,25838.17,21.34,0.208,1
27,71547.55,9983.15,29.11,1,0.355,1,15444.48,9.0,0.14,1
42,99195.75,30066.42,21.97,1,0.49,1,16579.81,22.85,0.303,1
48,40720.99,4253.54,27.72,0,0.16,3,4124.62,8.57,0.104,1
22,60828.53,1639.53,22.99,2,0.398,1,0.0,4.0,0.027,1
62,54077.91,26491.64,17.96,3,0.39,1,25551.36,24.17,0.49,1
65,58104.95,18108.46,6.16,4,0.633,1,14504.47,9.76,0.312,1
26,56061.74,30778.52,20.17,1,0.794,3,24886.82,8.0,0.549,1
48,43898.7,0.0,18.89,1,0.623,1,9368.8,7.4,0.0,1
48,64299.03,1191.91,18.27,2,0.31,3,11158.19,6.66,0.019,1
64,36622.08,18171.98,14.95,3,0.198,3,22559.58,14.35,0.496,0
64,81755.42,23012.08,16.1,2,0.255,1,22788.18,24.48,0.281,1
40,73712.82,28163.97,10.37,2,0.234,2,23570.79,11.33,0.382,1
50,49143.82,20097.81,15.82,0,0.148,0,10457.58,23.44,0.409,0
31,50210.37,19975.86,6.33,0,0.606,2,21374.57,13.0,0.398,1
48,66061.23,13327.18,24.25,2,0.563,2,27309.19,6.34,0.202,1
45,42432.0,37090.86,5.98,2,0.367,2,12742.74,10.05,0.874,1
59,99863.56,4763.72,3.01,3,0.324,0,7838.14,16.08,0.048,1
53,67874.37,22308.24,13.37,0,0.512,0,30112.97,12.95,0.329,1
21,68651.79,6146.29,19.92,2,0.371,2,6146.65,2.4,0.09,1
47,74991.79,24417.34,13.41,2,0.304,1,21553.72,24.84,0.326,1
33,47251.81,5555.79,8.66,2,0.314,2,13298.93,15.0,0.118,1
61,83958.22,26925.79,16.97,1,0.602,0,0.0,10.94,0.321,1
23,62519.73,19345.26,10.74,1,0.217,3,27543.13,5.0,0.309,1
59,80903.2,38935.67,28.02,3,0.568,1,0.0,2.19,0.481,1
26,55645.03,14627.76,27.72,3,0.446,0,0.0,8.0,0.263,1
28,88980.12,23099.59,15.32,1,0.721,3,20327.96,10.0,0.26,1
47,68829.56,8644.12,10.17,2,0.289,1,20324.85,22.42,0.126,1
29,108015.15,14545.28,22.25,1,0.152,4,6349.04,8.43,0.135,1
57,51870.52,19268.99,1.58,3,0.43,3,15773.87,13.28,0.371,1
53,64500.09,0.0,14.51,1,0.19,2,0.0,17.43,0.0,1
62,37305.32,988.51,10.42,4,0.18,2,22483.71,8.5,0.026,1
64,48355.44,25198.31,27.66,3,0.664,1,16996.71,1.62,0.521,0
44,73611.1,16246.96,0.85,1,0.646,1,13452.29,12.64,0.221,1
35,84845.14,10884.88,16.81,1,0.355,3,14250.1,15.04,0.128,1
52,125230.23,9156.17,22.35,0,0.364,1,19919.05,0.15,0.073,1
52,57874.16,9618.13,14.81,2,0.362,2,13653.18,2.39,0.166,1
44,39469.31,19350.61,3.02,2,0.522,1,0.0,5.18,0.49,1
61,76573.17,23340.43,29.19,3,0.29,3,40355.99,8.7,0.305,1
32,35187.8,0.0,15.78,1,0.03,1,28409.61,13.53,0.0,1
59,72414.1,34954.01,18.62,1,0.155,0,0.0,7.35,0.483,1
22,48950.37,34100.41,7.48,4,0.234,1,9858.35,4.0,0.697,0
23,64655.09,0.0,14.76,1,0.297,2,11167.59,5.0,0.0,1
57,84003.01,31031.12,13.16,1,0.522,1,26946.19,3.63,0.369,1
37,57563.86,30662.63,2.71,3,0.636,2,0.0,12.39,0.533,1
22,80523.34,18005.35,3.63,1,0.235,0,8011.9,4.0,0.224,1
22,79209.49,2433.98,25.21,1,0.369,1,0.0,4.0,0.031,1
